modified a workflow state,modificou uma etapa
List View,Visualização de Lista
Basic Info,Informações Básicas
Profile,Perfil
Connections,Conexões
Timeline,Histórico
Sidebar,Barra Lateral
Search Bar,Barra de Busca
Navigation Settings,Configurações de Navegação
Desk Settings,Configurações da Área de Trabalho
Desk Theme,Tema da Área de Trabalho
Dark,Escuro
Light,Claro
Edit Full Form,Editar Formulário Completo
Tags,Marcadores
1 Day,1 dia
4 hours,4 horas
30 minutes,30 minutos
1 hour,1 hora
Remind At,Lembrar em
Remind Me In,Lembrar em
Create a Reminder,Criar um Lembrete
Copy to Clipboard,Copiar para Área de Transferência
Remind Me,Lembrar
Redo,Refazer
Undo,Desfazer
DocType,Tipo de Documento (DocType)
Automatic,Automático
Timeless Night,Escuro
Frappe Light,Claro
Switch Theme,Trocar Tema
Administrator,Administrador
Roles & Permissions,Cargos & Permissões
Optimize,Otimizar
Set all private,Definir tudo como Privado
Set all public,Definir tudo como Público
Drag and drop files here or upload from,Clique e arraste seus arquivos aqui ou faça upload através de:
Library,Galeria
My Device,Meu Dispositivo
Can Submit,Pode Enviar
Apply Filters,Aplicar Filtros
Add a filter,Adicionar um filtro
+ Add a Filter,+ Adicionar um filtro
Copy Link,Copiar Link
Automatic Assignment,Atribuição Automática
assigned,atribuiu
commented,comentou
{0} commented,{0} comentou
from null to {0},de vazio para {0}
You changed the value of {0} from {1} to {2},Você alterou o valor de {0} de {1} para {2}
Show all activity   ,Mostrar histórico completo
Type a reply / comment,Escreva uma resposta ou comentário
Save Filter,Salvar Filtro
{0} created this,{0} criou isso
You last edited this,Você editou isso por último
{0} last edited this,{0} editou isso por último
List View   ,Visualização em Lista
Compliance Statement,Declaração de Conformidade
Edit Filters,Editar Filtros
Log out,Sair
Search or type a command ({0}),Busque ou digite o comando ({0})
Toggle Full Width,Alternar Largura
My Settings,Minhas Configurações
My Profile,Meu Perfil
created this,criou isso
last edited this,editou isso pela última vez
You,Você
Show Preview,Mostrar Prévia
Doctype,Documento
Service Protocol list,Lista de Protocolo de Serviço
Search or type a command (Ctrl + G),Pesquisar ou digitar um comando (Ctrl + G)
Add Row to Column Layout,Adicionar Linha ao Layout de Coluna
